8.9	7.35
3.2	4.4
8.8	9.95
14.7	12.3243613257
6	6.24415754906
16	13.5
4.8	6.35
15.4	14.1507309656
8.2	5.96469370396
11	17.15
10.8	10.1
16	20
3.1	4.56618631719
6.4	7.13436573121
3.8	4.35
7	11.8236805159
3.8	6.3
10.1	7.24723688502
6.71	8.065
19.5	12.5960627841
19.9	15.95
2.4	6.93333333333
4.3	6.4
6	7.3
14.3	16.05
20.91667	20.6299893216
6.7	6.6
14.7	10.85
7.1	13.9
31	45.5
18.4	15.7
10.5	12.1
10.2	9.9
24.4	15.95
29	17.5
2.9	9.25
4.6	6.75
3.5	7.33333333333
12.5	10.0205840632
3	2.85
7.3	7
3.4	12.5858245851
11.3	10.9
14.1	10
7.3	7.35
8.2	11.55
13.8	7.3
3.1	3.9
5.7	5.13333333333
7.2	7.25
16.9	22.9666666667
35.4	26.85
10.2	7.58963562722
4.1	5.05
13.5	13.7
985.2	646.7
12.375	12.2654066667
7.5	5.95
28.9	29
6.4	5.95
6.5	8.6184621553
5	5.15
12.9	9.56
7	8.33333333333
11.9	12.1251126904
11.5	10.085
15.3	15.9
12.9	12.9
8.3	8.99642150876
2	2.7
10.17	10.7775801594
7	7.5
6.2	5.9
5.5	5.65961908147
13.2	20.2
9	17.3846777504
5.3	5.4
59	59.6
5	7.9
9.21	10.52
8.21	7.205
7.8	4.15
13.7	12.8
3	4.33333333333
5.7	6.01471785889
17.6	12.9
9.5	10.05
12.9	14.8035167782
7.1	10.8
13.1	8.05
4	17.3666666667
8	5.87006661503
5.1	5.4
23.92	21.6229698765
13.4	8.03333333334
13	10.3333333333
11.54	13.2384403929
45	53.9999999999
8.9	6.9
12.5	9.8
6.4	9.3
12.8	9.46666666667
12.5	11.1
7	3.4999778312
20.3	18.3706683344
17	10
6.4	16.2666666667
38	34
7.5	6.14999999999
48.3	24.9
13.6	13.45
2.9	12.1
7	5.3
5.2	5.6059799108
28	25
10.3	9.79114178507
29.3	24.9350854552
21.8	22.5954629644
13.1	10.6
8.1	14.85
7.29	9.94900842392
6.8	9.2
4.4	4.35
5.3	5.2
15.3	22.25
9.7	10.65
35.7	14.05
9.7	9.89760160362
26.8	28.6
10.5	10.5957889273
8.5	13.2230091188
25.3	19.65
6	5.07804597305
7.9	9.1
6	7.88658392122
10.6	8.95
11.7	38.2
6.5	5.2664113449
20	37
3.7	5.5
11.7	12.0693326062
11.2	12.05
11.6	14.3
15.9	10.55
4.6	12.65
14.08	6.15
8.9	16.9649377432
11.8	12.0230281354
14.6	13.8618029252
5.1	7.8
18.29167	18.8043836337
8.45833	9.0060412223
4.4	6.89852272801
5.7	4.8
20.5	24.0191449617
12.7	11.3
27	27.5
8	9.5
6.96	8.92142698367
6.5	7.2
25.3	17.3
3.4	6.26666666667
9.1	10.6
6.5	6.56
5.5	6.40167749403
9.3	24.48
8.8	8.15
4.8	6.45187984684
7	7.91985520392
12.7	12.1
4.5	11.85
15.9	15.2829101734
4.9	5.75514451214
12.2	8.5
7.9	9.30351643582
28.8	22.15
7.6	9.3
10.2	12.95
8.5	6.55
12	11.2586886939
7.5	6.75
6.9	6.1
17	13.5666666667
6.2	5.15000000001
9	6.8571248135
13.7	9.8
5.5	5.6
22	21.5
18.1	18.7690891312
10.5	11.85
3.37	7.82
5.6	5.1
9.6	9.95000000001
8.9	7.45
18.9	16
7.25714	7.088115
14.8	10.5
64	52.5
11.5	12.55
5.4	11.65
9.2	6.35
7	8.7
1.9	7.3162496226
9.3	10.55
12.3	10.5
11.4	13.45
10.1	7.79194312591
9.7	11.3085547007
10.8	10.45
30.5	6.15000000001
5.3	5.85
26.2	32.9
25	23
13	23
5	5.56902220289
6.3	3.66666666667
7.4	6.63333333333
11.6	10.32
9.7	13.7
8.4	7.96666666667
4.2	5.75
4.5	4.7
13.5	12.8414648338
13.8	11.6152889589
8.8	9.56969902381
9.5	7.50910138848
11.29167	7.1875
2.9	8.6
9.2	8.1
6.1	9.4
12.3	13.15
14.1	9.315
9.5	11.7
10.7	9.09498496401
6	5.95
8.29	8.69
22	17.65
7	6.1
12	12.5073286068
6.6	7.15
8.9	14.4872557144
2.1	2.2
16.4	16.55
6.9	9.1
10.2	10.9
2.4	2.8084860443
5.4	11.2666666667
6.4	6.2
5	7.15
8.6	8.35
14.4	10.7
9.12	8.56333333333
7.9	10.05
3.5	5.4
12	14.65
17.4	15.503137951
16.7	14.2
11.6	6.75
8.9	5.71246454721
25	29.35
9.4	8.70000000001
23.1	22.2045889241
11.8	9.75
10.5	9.72513940743
21.3	19.4165127852
3.1	3.6
21.3	51.35
13	8.5
4.6	11.2
5.9	6.16015338298
15.3	12.9
24	20.5
6.9	12
16.7	17.05
3.8	7.7
8.6	4.05
4.2	4.3
7.82	6.54
20	12.5
3.3	3.6
11.4	16.7539231285
5.8	6.6
8.58	8.080393796
29	33
6.2	9.05
4	3.65
7	7.65
21.1	21.05
10.4	10
10.6	13.3
10.4	8.53763949432
11.8	15.15
10.6	17.9447468637
8.5	11.2
18.6	16.7432140528
18.4	18.05
10.3	6.2
4.8	8.15
15.1	13.85
2.3	2.525
28.7	10.05
5	8.3
8	15.05
5.3	4.85819172889
9.2	8.95
15.7	13.8
25	18
4	4.65
32.3804	33.132385
11.5	8.15
19.5	19.7709616731
9.1	10.143532327
9	13.2
5.5	6.65
30.1	15.6
27	29.5
4.7	4.86666666667
6.1	10.4
12.4	13.5
5	5.7
6.9	8.65
13	17.2040675932
12.9	8.65
13.9	5.2
7.8	7
14.3	11.8
9.3	2.13333333333
7.3	22.8
3.8	4.3
10.1	9.27316418689
5.8	11.25
5.4	4.55
19	22.5
9.5	4.85
3.2	14.4
11.7	8.85
8	8.1
3.4	4.35
8.79	7.67265834151
11.6	6.4
10.16667	8.854165
12.3	15.25
8.9	8.55
15.7	13.65
10.4	9.04999999998
3.8	4.5
10	6
6.6	6.47876578528
38.3	42
5.1	7.125
4	3.1
7.66667	7.75132018874
18.1	16.2338852133
3.3	4.24242962509
9.8	10.1074758972
6.6	7.46666666667
6.67	12.625
44	31.5
3.8	15.05
15.5	29.9666666667
4.9	6.05
8.5	5.9
8.3	8.26916923595
5.7	8.8
13.5	16.083335
25	23
15.6	14.1
18.3	20.3
18	12.5
9	10.75
8.9	11.5
10	11
9.2	9.4
29	37
10.6	7.9
8.3	7.25
7.6	8.43685522374
9.2	10.884987249
10.2	18.55
4.9	2.74999999999
8.6	6.02916318427
10.6	9.92402365883
9.5	15.1
7.8	7.19999999998
22.2	23.6
7.4	7.55
6.4	7.8
9.9	8.5
4.25291	12.946335
15.4	18
18.9	19.15
9.8	12.6
5	13.95
15	16.95
4.1	10.05
9.5	11.8
7	7.74178644259
6.5	17.15
11.9	10.3
5.1	5.36236007577
1.2	9.7
0.7	5.81640084245
6.9	7.7
5.4	7.7
3.7	6.69999999998
6.2	9
6.2	5.03900847515
6.5	4.59808110887
3.5	4.75
19.1	23
5	2.55
4.1	5.26666666667
6.2	6.175
8.4	7.5
3.5	3.24371235816
6.6	4.7
3.8	4.59574767991
7.5	8.95
4.1	3.28285540277
3	6.75
10.9	4.75
6.3	4.95
4.7	9.9
8.7	4.5
22.4	9.55
6.8	9.9
1.2	3.1
49	38
16.8	15.8
42	33.6666666667
6.5	9.16666666667
23.6	25.9645480812
16.93617	27.8507751577
5.5	7.61572293046
9.88	15.8778159925
5	7
7.5	9.55
6	7
3.1	6.55
5.7	12.7333333333
25.7	14.7884982635
6.38	8.57
8.1	10.65
14.5	20.1592188572
5.5	4.66592421521
11.8	8.13333333333
4.4	7.4
5.2	4.55108496449
6.6	14.9
9	9.29272108988
5.89958	4.22917
12.72	18.025
2.9	5.15
